UCLAFoodLaw,norcalrecord.com,1251377413725941761,1249818661017157632,Mon Apr 13 21:56:03 +0000 2020,0,0,1,0,
UFLaw,flarecord.com,1251579268523425792,1251546812571365379,Sat Apr 18 16:23:07 +0000 2020,0,0,0,0,
PharmaNewsUSA,americanpharmacynews.com,1251580017424732160,1249170742761095169,Sun Apr 12 03:01:28 +0000 2020,0,0,0,0,
zeigler_auto,megadealernews.com,1251580465175126017,1250160335031582720,Tue Apr 14 20:33:45 +0000 2020,0,0,3,0,
omnbgf,flbusinessdaily.com,1251580815227510784,1251135014357663746,Fri Apr 17 13:06:47 +0000 2020,0,0,0,0,
lin_nah,legalnewsline.com,1251581325342945280,1251166344583827456,Fri Apr 17 15:11:16 +0000 2020,0,0,4,0,
ripway2,pennrecord.com,1251581666604113920,1251136585267064832,Fri Apr 17 13:13:01 +0000 2020,0,0,0,0,
htxmtz,setexasrecord.com,1251582016652374016,1250537427254611971,Wed Apr 15 21:32:11 +0000 2020,0,0,0,0,
spkodowell,louisianarecord.com,1251613216406245376,1250931040652341249,Thu Apr 16 23:36:15 +0000 2020,0,0,1,0,

